time (ps),RMSD to cluster 1 (nm)
0.0,0.7553
10.0,0.7669
20.0,0.7601
30.0,0.8003
40.0,0.7901
50.0,0.8561
60.0,1.4844
70.0,0.8729
80.0,0.8756
90.0,0.828
100.0,0.8136
110.0,0.7872
120.0,0.8009
130.0,0.8221
140.0,0.833
150.0,0.8248
160.0,0.9272
170.0,0.9147
180.0,0.9258
190.0,0.8727
200.0,0.9323
210.0,1.1714
220.0,1.1905
230.0,1.1523
240.0,1.1689
250.0,1.1708
260.0,1.1928
270.0,0.9317
280.0,1.2587
290.0,1.2379
300.0,0.489
310.0,0.4768
320.0,0.4394
330.0,0.9195
340.0,1.2525
350.0,1.1998
360.0,0.4694
370.0,0.4619
380.0,1.2235
390.0,1.248
400.0,0.9196
410.0,0.912
420.0,0.9395
430.0,0.9204
440.0,0.9136
450.0,0.8195
460.0,1.0207
470.0,1.0447
480.0,0.7843
490.0,1.4038
500.0,1.3282
510.0,0.7828
520.0,0.8182
530.0,0.7526
540.0,0.7277
550.0,0.7537
560.0,0.7345
570.0,0.7383
580.0,0.8825
590.0,0.9156
600.0,0.9186
610.0,0.9587
620.0,0.943
630.0,0.8309
640.0,0.8717
650.0,0.8709
660.0,0.8545
670.0,1.255
680.0,1.2143
690.0,0.8365
700.0,1.2167
710.0,1.1987
720.0,1.2609
730.0,1.2599
740.0,1.5801
750.0,1.2377
760.0,1.5736
770.0,1.5524
780.0,0.8514
790.0,0.8365
800.0,0.8568
810.0,0.7868
820.0,0.67
830.0,0.822
840.0,1.5279
850.0,0.6979
860.0,1.5116
870.0,1.5446
880.0,1.5512
890.0,1.5339
900.0,1.5695
910.0,1.5599
920.0,1.5696
930.0,1.4203
940.0,1.4337
950.0,1.4627
960.0,1.4695
970.0,1.5086
980.0,1.4623
990.0,1.5466
1000.0,1.59
1010.0,1.598
1020.0,1.5958
1030.0,1.5507
1040.0,0.9103
1050.0,1.5489
1060.0,1.5741
1070.0,1.5834
1080.0,1.6073
1090.0,1.6514
1100.0,1.6564
1110.0,1.6332
1120.0,1.6251
1130.0,1.6113
1140.0,0.681
1150.0,1.6387
1160.0,1.64
1170.0,1.6458
1180.0,1.6298
1190.0,1.6052
1200.0,1.6002
1210.0,1.6346
1220.0,1.6043
1230.0,1.6217
1240.0,1.5415
1250.0,1.5909
1260.0,0.9248
1270.0,0.647
1280.0,0.6822
1290.0,1.6086
1300.0,1.6034
1310.0,1.5559
1320.0,1.5501
1330.0,1.5794
1340.0,1.5467
1350.0,1.5748
1360.0,1.5642
1370.0,1.5339
1380.0,0.6562
1390.0,0.6939
1400.0,0.6717
1410.0,1.5291
1420.0,1.5954
1430.0,0.6904
1440.0,1.5649
1450.0,1.6046
1460.0,1.6199
1470.0,1.5904
1480.0,1.4943
1490.0,1.4948
1500.0,1.5092
1510.0,0.7186
1520.0,1.5554
1530.0,1.5063
1540.0,1.4828
1550.0,1.4471
1560.0,0.8547
1570.0,0.837
1580.0,0.8232
1590.0,0.8358
1600.0,0.8545
1610.0,0.8761
1620.0,0.8893
1630.0,0.8953
1640.0,0.889
1650.0,0.8958
1660.0,1.5638
1670.0,1.5388
1680.0,1.5323
1690.0,1.3732
1700.0,1.3456
1710.0,1.3583
1720.0,1.3237
1730.0,0.8779
1740.0,0.8663
1750.0,0.8586
1760.0,0.8761
1770.0,0.8979
1780.0,0.8666
1790.0,0.8491
1800.0,1.1947
1810.0,1.1506
1820.0,1.1545
1830.0,1.2216
1840.0,1.0615
1850.0,1.0623
1860.0,1.0497
1870.0,1.3059
1880.0,1.2807
1890.0,1.0944
1900.0,1.0775
1910.0,1.0711
1920.0,1.0613
1930.0,0.7401
1940.0,0.7589
1950.0,0.7482
1960.0,0.748
1970.0,0.7753
1980.0,0.8089
1990.0,1.0797
2000.0,1.1046
2010.0,1.1009
2020.0,1.2253
2030.0,1.2355
2040.0,1.2339
2050.0,1.2604
2060.0,1.0672
2070.0,1.3194
2080.0,1.3218
2090.0,0.7813
2100.0,0.7655
2110.0,0.7535
2120.0,0.7649
2130.0,0.7658
2140.0,1.0663
2150.0,1.0657
2160.0,1.0823
2170.0,1.0473
2180.0,0.8921
2190.0,0.899
2200.0,0.939
2210.0,0.8582
2220.0,1.1992
2230.0,1.202
2240.0,0.9807
2250.0,1.1806
2260.0,1.2203
2270.0,1.1819
2280.0,0.9428
2290.0,0.959
2300.0,0.957
2310.0,0.9506
2320.0,0.965
2330.0,0.958
2340.0,0.9449
2350.0,0.6566
2360.0,0.6291
2370.0,0.6385
2380.0,1.3195
2390.0,1.2586
2400.0,1.2425
2410.0,1.2295
2420.0,0.6874
2430.0,0.7041
2440.0,0.7002
2450.0,0.7155
2460.0,0.6334
2470.0,0.8532
2480.0,0.8311
2490.0,0.6461
2500.0,0.6141
2510.0,0.6065
2520.0,0.6131
2530.0,0.6278
2540.0,0.8028
2550.0,0.7898
2560.0,0.8005
2570.0,0.8349
2580.0,0.8167
2590.0,0.9867
2600.0,0.9814
2610.0,0.9845
2620.0,0.7777
2630.0,0.7685
2640.0,0.9612
2650.0,0.8925
2660.0,0.8632
2670.0,0.9202
2680.0,0.7372
2690.0,0.7126
2700.0,0.9365
2710.0,0.7258
2720.0,0.7297
2730.0,0.745
2740.0,0.736
2750.0,0.7525
2760.0,0.8861
2770.0,0.7451
2780.0,0.75
2790.0,0.7586
2800.0,0.7609
2810.0,0.8681
2820.0,0.869
2830.0,0.8683
2840.0,0.9003
2850.0,0.755
2860.0,0.7728
2870.0,0.7283
2880.0,0.7603
2890.0,1.1322
2900.0,1.1703
2910.0,1.1731
2920.0,1.1646
2930.0,1.1742
2940.0,0.8082
2950.0,0.7814
2960.0,0.7716
2970.0,0.7339
2980.0,0.7166
2990.0,1.1623
3000.0,0.7319
3010.0,0.9086
3020.0,0.9125
3030.0,0.6931
3040.0,0.9599
3050.0,0.9929
3060.0,0.9809
3070.0,0.9611
3080.0,1.0201
3090.0,0.6923
3100.0,0.6926
3110.0,0.6858
3120.0,0.665
3130.0,0.6872
3140.0,1.087
3150.0,1.0675
3160.0,0.7211
3170.0,0.8061
3180.0,0.7907
3190.0,1.075
3200.0,1.0482
3210.0,0.8017
3220.0,1.0397
3230.0,1.0313
3240.0,1.0281
3250.0,0.9904
3260.0,0.9873
3270.0,0.6508
3280.0,0.7372
3290.0,0.6548
3300.0,0.6769
3310.0,1.0001
3320.0,0.7658
3330.0,0.6601
3340.0,0.7601
3350.0,0.6784
3360.0,0.6527
3370.0,0.6565
3380.0,0.6484
3390.0,0.7044
3400.0,0.6464
3410.0,0.6459
3420.0,0.6609
3430.0,0.7066
3440.0,0.7232
3450.0,0.7075
3460.0,0.6407
3470.0,0.6131
3480.0,0.6281
3490.0,0.6419
3500.0,0.6431
3510.0,0.627
3520.0,0.6707
3530.0,0.667
3540.0,0.6789
3550.0,0.6851
3560.0,0.6687
3570.0,0.6565
3580.0,0.6683
3590.0,0.7002
3600.0,0.6286
3610.0,0.6877
3620.0,0.6876
3630.0,0.7082
3640.0,0.7537
3650.0,0.8572
3660.0,0.8588
3670.0,0.7082
3680.0,0.7172
3690.0,0.6273
3700.0,0.6192
3710.0,0.6193
3720.0,0.6106
3730.0,0.6005
3740.0,0.6062
3750.0,0.6373
3760.0,0.7485
3770.0,0.7406
3780.0,0.6241
3790.0,0.7462
3800.0,0.7334
3810.0,0.7267
3820.0,0.7499
3830.0,0.7462
3840.0,0.6224
3850.0,0.72
3860.0,0.7405
3870.0,0.5895
3880.0,0.5781
3890.0,0.7278
3900.0,0.5897
3910.0,0.5849
3920.0,0.7164
3930.0,0.5849
3940.0,0.5789
3950.0,1.2194
3960.0,1.2031
3970.0,1.2207
3980.0,1.1927
3990.0,1.1812
4000.0,1.1675
4010.0,1.2193
4020.0,0.8472
4030.0,0.8352
4040.0,0.8299
4050.0,0.7212
4060.0,1.2077
4070.0,1.1827
4080.0,0.8622
4090.0,0.8686
4100.0,0.8615
4110.0,0.8762
4120.0,0.9035
4130.0,0.8577
4140.0,0.7191
4150.0,0.6954
4160.0,0.7319
4170.0,1.0904
4180.0,0.7394
4190.0,0.8219
4200.0,0.81
4210.0,0.8148
4220.0,0.7769
4230.0,1.0054
4240.0,0.9597
4250.0,0.897
4260.0,0.6347
4270.0,0.6408
4280.0,0.6383
4290.0,0.9693
4300.0,0.9722
4310.0,1.0198
4320.0,1.0391
4330.0,0.7609
4340.0,0.7571
4350.0,0.756
4360.0,0.7617
4370.0,0.7534
4380.0,0.9173
4390.0,0.9793
4400.0,0.9736
4410.0,0.958
4420.0,0.7335
4430.0,0.7201
4440.0,1.0206
4450.0,0.7122
4460.0,0.7259
4470.0,0.7734
4480.0,0.7605
4490.0,0.7548
4500.0,0.6887
4510.0,0.7003
4520.0,0.7254
4530.0,0.7137
4540.0,0.7285
4550.0,0.7239
4560.0,0.7208
4570.0,0.6926
4580.0,0.7181
4590.0,0.7722
4600.0,0.7232
4610.0,0.7326
4620.0,0.7248
4630.0,0.7898
4640.0,0.8241
4650.0,1.3214
4660.0,1.3714
4670.0,1.3267
4680.0,0.7664
4690.0,0.7407
4700.0,1.1815
4710.0,0.7972
4720.0,1.1894
4730.0,1.188
4740.0,1.169
4750.0,0.5761
4760.0,0.5855
4770.0,0.6852
4780.0,1.1278
4790.0,0.7052
4800.0,1.1115
4810.0,0.6
4820.0,1.2179
4830.0,1.1591
4840.0,1.1848
4850.0,1.1798
4860.0,0.5904
4870.0,1.1347
4880.0,0.6826
4890.0,0.6679
4900.0,0.6757
4910.0,1.0728
4920.0,0.5762
4930.0,1.0365
4940.0,0.9821
4950.0,0.9831
4960.0,0.5718
4970.0,0.5686
4980.0,0.949
4990.0,1.0161
5000.0,1.0863
5010.0,1.0501
5020.0,1.0515
5030.0,0.6085
5040.0,0.6001
5050.0,0.5859
5060.0,0.5973
5070.0,0.5934
5080.0,0.5969
5090.0,0.6108
5100.0,0.6207
5110.0,0.6056
5120.0,0.5637
5130.0,0.5785
5140.0,0.6184
5150.0,0.6345
5160.0,0.618
5170.0,0.6397
5180.0,0.6408
5190.0,0.7469
5200.0,0.6227
5210.0,0.6365
5220.0,0.6463
5230.0,0.6565
5240.0,0.651
5250.0,0.6466
5260.0,0.6324
5270.0,0.7827
5280.0,1.0587
5290.0,0.6155
5300.0,0.6171
5310.0,0.6219
5320.0,0.6138
5330.0,0.6097
5340.0,1.1013
5350.0,1.1252
5360.0,0.8243
5370.0,0.8073
5380.0,0.8358
5390.0,1.1056
5400.0,1.105
5410.0,1.0858
5420.0,1.1079
5430.0,0.6151
5440.0,1.095
5450.0,1.0901
5460.0,1.113
5470.0,0.6169
5480.0,0.6117
5490.0,0.6249
5500.0,0.7039
5510.0,0.7011
5520.0,0.6652
5530.0,0.6846
