time (ps),RMSD to cluster 1 (nm)
0.0,0.8758
10.0,0.7924
20.0,0.7898
30.0,0.7293
40.0,0.8761
50.0,0.7851
60.0,0.9631
70.0,0.8031
80.0,0.7764
90.0,0.7694
100.0,0.7607
110.0,0.7685
120.0,0.9377
130.0,0.8599
140.0,0.9281
150.0,0.9005
160.0,0.8854
170.0,0.9353
180.0,0.9839
190.0,0.901
200.0,0.8596
210.0,1.0331
220.0,1.0112
230.0,0.9121
240.0,0.9468
250.0,0.7547
260.0,0.7389
270.0,0.7318
280.0,0.7554
290.0,0.7196
300.0,0.9497
310.0,0.9669
320.0,0.7291
330.0,0.9218
340.0,0.7307
350.0,0.7426
360.0,0.5254
370.0,0.5294
380.0,0.5254
390.0,0.5206
400.0,0.5102
410.0,0.5179
420.0,1.0074
430.0,1.0305
440.0,1.044
450.0,1.0109
460.0,1.0305
470.0,1.0269
480.0,1.0408
490.0,1.0149
500.0,1.0204
510.0,1.0301
520.0,1.0091
530.0,1.0268
540.0,1.0862
550.0,0.9382
560.0,1.0871
570.0,1.0884
580.0,1.0661
590.0,1.085
600.0,1.0361
610.0,0.9989
620.0,1.0172
630.0,0.9156
640.0,0.9724
650.0,0.9196
660.0,0.9282
670.0,0.9111
680.0,0.5442
690.0,0.5286
700.0,0.5435
710.0,0.9211
720.0,0.8804
730.0,0.5317
740.0,0.5631
750.0,0.5679
760.0,0.5328
770.0,0.8361
780.0,0.8626
790.0,0.6783
800.0,0.6859
810.0,0.5628
820.0,0.5555
830.0,0.5709
840.0,0.5866
850.0,0.5482
860.0,0.5358
870.0,0.6559
880.0,0.8633
890.0,0.8972
900.0,0.5592
910.0,0.5309
920.0,0.5348
930.0,0.5499
940.0,0.5092
950.0,0.5043
960.0,0.6196
970.0,0.7271
980.0,0.7192
990.0,0.714
1000.0,0.7006
1010.0,0.4948
1020.0,0.4935
1030.0,0.4882
1040.0,0.6179
1050.0,0.6295
1060.0,0.6179
1070.0,0.6204
1080.0,0.6599
1090.0,0.6558
1100.0,0.3521
1110.0,0.6198
1120.0,0.6324
1130.0,0.6261
1140.0,0.6075
1150.0,0.6098
1160.0,0.6458
1170.0,0.559
1180.0,0.6359
1190.0,0.6467
1200.0,0.6156
1210.0,0.8296
1220.0,0.8244
1230.0,0.6431
1240.0,0.6395
1250.0,0.804
1260.0,0.8152
1270.0,0.6458
1280.0,0.652
1290.0,0.6181
1300.0,0.6333
1310.0,0.7326
1320.0,0.7472
1330.0,0.7492
1340.0,0.7638
1350.0,0.7858
1360.0,0.7717
1370.0,0.7615
1380.0,0.7351
1390.0,0.7499
1400.0,0.7354
1410.0,0.7299
1420.0,0.7982
1430.0,0.7668
1440.0,0.7639
1450.0,0.4929
1460.0,0.5055
1470.0,0.4981
1480.0,0.5174
1490.0,0.4979
1500.0,0.6399
1510.0,0.7273
1520.0,0.722
1530.0,0.7262
1540.0,0.6179
1550.0,0.6288
1560.0,0.9051
1570.0,0.9176
1580.0,0.9019
1590.0,0.878
1600.0,0.8961
1610.0,0.8945
1620.0,0.5755
1630.0,0.5746
1640.0,0.5552
1650.0,0.5771
1660.0,0.555
1670.0,0.5551
1680.0,0.5604
1690.0,0.7345
1700.0,0.5592
1710.0,0.5462
1720.0,0.5588
1730.0,0.5807
1740.0,0.7508
1750.0,0.7453
1760.0,0.7172
1770.0,0.7022
1780.0,0.7041
1790.0,0.6095
1800.0,0.7224
1810.0,0.7472
1820.0,0.7311
1830.0,0.7344
1840.0,0.7357
1850.0,0.7292
1860.0,0.7487
1870.0,0.7368
1880.0,0.731
1890.0,0.7109
1900.0,0.7321
1910.0,0.7437
1920.0,0.511
1930.0,0.5116
1940.0,0.5153
1950.0,0.514
1960.0,0.5096
1970.0,0.6133
1980.0,0.6255
1990.0,0.6253
2000.0,0.5084
2010.0,0.509
2020.0,0.6188
2030.0,0.62
2040.0,0.5239
2050.0,0.5143
2060.0,0.5007
2070.0,0.6174
2080.0,0.5178
2090.0,0.5237
2100.0,0.533
2110.0,0.5205
2120.0,0.5092
2130.0,0.525
2140.0,0.5249
2150.0,0.5188
2160.0,0.5087
2170.0,0.6255
2180.0,0.5337
2190.0,0.6248
2200.0,0.645
2210.0,0.613
2220.0,0.6036
2230.0,0.6122
2240.0,0.6021
2250.0,0.537
2260.0,0.5451
2270.0,0.5591
2280.0,0.542
2290.0,0.8429
2300.0,0.8167
2310.0,0.8266
2320.0,0.613
2330.0,0.604
2340.0,0.6801
2350.0,0.9064
2360.0,0.8797
2370.0,0.6169
2380.0,0.9337
2390.0,0.953
2400.0,0.7525
2410.0,0.9481
2420.0,0.9257
2430.0,0.9272
2440.0,1.012
