time (ps),RMSD to cluster 1 (nm)
0.0,0.3435
10.0,0.3584
20.0,0.3445
30.0,0.3499
40.0,0.3462
50.0,0.4559
60.0,1.0548
70.0,0.44
80.0,0.4252
90.0,0.3763
100.0,0.8
110.0,0.7666
120.0,0.7768
130.0,0.3622
140.0,0.379
150.0,0.7722
160.0,0.5552
170.0,0.5618
180.0,0.5826
190.0,0.5602
200.0,0.616
210.0,0.8051
220.0,0.8271
230.0,0.7863
240.0,0.8009
250.0,0.8033
260.0,0.8236
270.0,0.4485
280.0,0.8809
290.0,0.8529
300.0,0.4205
310.0,0.4059
320.0,0.4125
330.0,0.4644
340.0,0.8759
350.0,0.8466
360.0,0.4035
370.0,0.417
380.0,0.8536
390.0,0.865
400.0,0.4569
410.0,0.4445
420.0,0.4596
430.0,0.4248
440.0,0.4347
450.0,0.5139
460.0,0.8703
470.0,0.873
480.0,0.4824
490.0,0.9958
500.0,0.9677
510.0,0.4487
520.0,0.498
530.0,0.4668
540.0,0.4428
550.0,0.4857
560.0,0.482
570.0,0.4776
580.0,0.4394
590.0,0.4651
600.0,0.4637
610.0,0.5159
620.0,0.4968
630.0,0.7238
640.0,0.4565
650.0,0.4506
660.0,0.4324
670.0,0.9124
680.0,0.8858
690.0,0.5284
700.0,0.9051
710.0,0.8951
720.0,0.9347
730.0,0.9164
740.0,1.143
750.0,0.897
760.0,1.1344
770.0,1.1159
780.0,0.5787
790.0,0.5751
800.0,0.5701
810.0,0.5292
820.0,0.323
830.0,0.5548
840.0,1.1068
850.0,0.295
860.0,1.0866
870.0,1.1252
880.0,1.1296
890.0,1.1219
900.0,1.1507
910.0,1.1404
920.0,1.1351
930.0,1.0494
940.0,1.0663
950.0,1.0712
960.0,1.0887
970.0,1.1263
980.0,1.1232
990.0,1.0981
1000.0,1.1454
1010.0,1.1646
1020.0,1.1556
1030.0,1.1456
1040.0,0.8234
1050.0,1.1532
1060.0,1.17
1070.0,1.1667
1080.0,1.1725
1090.0,1.2528
1100.0,1.2386
1110.0,1.2031
1120.0,1.2068
1130.0,1.1833
1140.0,0.3917
1150.0,1.1667
1160.0,1.1829
1170.0,1.1748
1180.0,1.1666
1190.0,1.1196
1200.0,1.1136
1210.0,1.1373
1220.0,1.1144
1230.0,1.1352
1240.0,1.0476
1250.0,1.109
1260.0,0.7816
1270.0,0.4012
1280.0,0.3862
1290.0,1.1021
1300.0,1.1
1310.0,1.1195
1320.0,1.1259
1330.0,1.0734
1340.0,1.1328
1350.0,1.139
1360.0,1.1357
1370.0,1.0991
1380.0,0.4174
1390.0,0.4452
1400.0,0.4356
1410.0,1.1109
1420.0,1.1731
1430.0,0.4425
1440.0,1.1455
1450.0,1.1989
1460.0,1.2203
1470.0,1.1882
1480.0,1.124
1490.0,1.1089
1500.0,1.1187
1510.0,0.6468
1520.0,1.1649
1530.0,1.128
1540.0,1.1111
1550.0,1.0642
1560.0,0.4025
1570.0,0.4116
1580.0,0.3956
1590.0,0.403
1600.0,0.4142
1610.0,0.4268
1620.0,0.4566
1630.0,0.4338
1640.0,0.4261
1650.0,0.4249
1660.0,1.1763
1670.0,1.1562
1680.0,1.1576
1690.0,0.9754
1700.0,0.9598
1710.0,0.9734
1720.0,0.9408
1730.0,0.851
1740.0,0.8399
1750.0,0.8449
1760.0,0.8418
1770.0,0.8381
1780.0,0.8073
1790.0,0.786
1800.0,0.863
1810.0,0.7967
1820.0,0.7941
1830.0,0.8591
1840.0,0.7282
1850.0,0.7278
1860.0,0.7135
1870.0,0.9163
1880.0,0.913
1890.0,0.7313
1900.0,0.6956
1910.0,0.7066
1920.0,0.6902
1930.0,0.3042
1940.0,0.3263
1950.0,0.3122
1960.0,0.2956
1970.0,0.3223
1980.0,0.3331
1990.0,0.7052
2000.0,0.7323
2010.0,0.7284
2020.0,0.8462
2030.0,0.8627
2040.0,0.8479
2050.0,0.8819
2060.0,0.6969
2070.0,0.942
2080.0,0.941
2090.0,0.3261
