time (ps),RMSD to cluster 1 (nm)
0.0,0.9392
10.0,0.9007
20.0,0.9053
30.0,0.671
40.0,0.935
50.0,0.8904
60.0,1.2274
70.0,0.9142
80.0,0.9023
90.0,0.9005
100.0,0.8859
110.0,0.8957
120.0,1.227
130.0,1.3306
140.0,1.2038
150.0,1.2012
160.0,1.1427
170.0,1.1827
180.0,1.4778
190.0,1.161
200.0,1.1074
210.0,1.5306
220.0,1.4991
230.0,1.1348
240.0,1.1942
250.0,0.8776
260.0,0.8506
270.0,0.8583
280.0,0.8475
290.0,0.8251
300.0,1.1758
310.0,1.1855
320.0,0.8177
330.0,1.137
340.0,0.8564
350.0,0.842
360.0,0.3641
370.0,0.3449
380.0,0.3505
390.0,0.3623
400.0,0.388
410.0,0.3811
420.0,1.4589
430.0,1.4847
440.0,1.4999
450.0,1.4533
460.0,1.4778
470.0,1.4714
480.0,1.4897
490.0,1.4622
500.0,1.4758
510.0,1.4744
520.0,1.448
530.0,1.4473
540.0,1.4867
550.0,1.2764
560.0,1.4875
570.0,1.4973
580.0,1.4751
590.0,1.4913
600.0,1.4373
610.0,1.4049
620.0,1.415
630.0,1.2078
640.0,1.3342
650.0,1.1989
660.0,1.221
670.0,1.2171
680.0,0.5571
690.0,0.5411
700.0,0.5401
710.0,1.2448
720.0,1.2256
730.0,0.4986
740.0,0.4917
750.0,0.4806
760.0,0.4869
770.0,1.1985
780.0,1.2009
790.0,0.6429
800.0,0.6633
810.0,0.4925
820.0,0.496
830.0,0.5544
840.0,0.5654
850.0,0.5114
860.0,0.5117
870.0,1.0193
880.0,1.2079
890.0,1.2603
900.0,0.5064
910.0,0.5092
920.0,0.5062
930.0,0.4767
940.0,0.418
950.0,0.4495
960.0,0.5233
970.0,1.0311
980.0,1.0243
990.0,1.0209
1000.0,1.0634
1010.0,0.4211
1020.0,0.3959
1030.0,0.3765
1040.0,0.5094
1050.0,0.5028
1060.0,0.4899
1070.0,0.4997
1080.0,1.0285
1090.0,1.0182
1100.0,0.8007
1110.0,0.5696
1120.0,0.5553
1130.0,0.5638
1140.0,0.5498
1150.0,0.9938
1160.0,0.5845
1170.0,0.9526
1180.0,0.5943
1190.0,0.608
1200.0,0.9877
1210.0,0.8881
1220.0,0.8995
1230.0,0.6244
1240.0,0.5982
1250.0,0.8606
1260.0,0.8675
1270.0,0.5916
1280.0,0.5959
1290.0,0.5856
1300.0,0.5866
1310.0,1.1305
1320.0,1.1307
1330.0,1.0987
1340.0,1.1415
1350.0,0.8277
1360.0,0.8116
1370.0,0.7908
1380.0,0.7605
1390.0,0.7879
1400.0,0.7348
1410.0,0.7492
1420.0,1.1466
1430.0,1.1411
1440.0,1.1415
1450.0,0.5544
1460.0,0.5619
1470.0,0.5618
1480.0,0.557
1490.0,0.5862
1500.0,0.5459
1510.0,0.7457
1520.0,0.707
1530.0,0.7129
1540.0,0.5967
1550.0,0.5826
1560.0,1.1106
1570.0,1.0908
1580.0,1.1089
1590.0,1.1249
1600.0,1.1577
1610.0,1.1325
1620.0,0.5698
1630.0,0.5637
1640.0,0.5507
1650.0,0.5482
1660.0,0.9435
1670.0,0.535
1680.0,0.5192
1690.0,0.7204
1700.0,0.5169
1710.0,0.5457
1720.0,0.9197
1730.0,0.9409
1740.0,0.7644
1750.0,0.7205
1760.0,0.7112
1770.0,0.6825
1780.0,0.6828
1790.0,0.9453
1800.0,0.6861
1810.0,0.7096
1820.0,0.6778
1830.0,0.672
1840.0,0.7002
1850.0,0.6969
1860.0,0.719
1870.0,0.6783
1880.0,0.6801
1890.0,0.647
1900.0,0.6795
1910.0,0.6972
1920.0,0.3926
1930.0,0.4101
1940.0,0.3857
1950.0,0.3586
1960.0,0.3574
1970.0,0.5084
1980.0,0.5385
1990.0,0.542
2000.0,0.3757
2010.0,0.3747
2020.0,0.5453
2030.0,0.5519
2040.0,0.3588
2050.0,0.3772
2060.0,0.3771
2070.0,0.5779
2080.0,0.3812
2090.0,0.3802
2100.0,0.3772
2110.0,0.3698
2120.0,0.3736
2130.0,0.3549
