tetragons,pentagons,hexagons,num_waters
0,0,0,14
0,1,0,16
0,0,0,17
0,0,0,15
0,0,0,16
1,0,0,16
0,0,0,19
0,0,0,14
0,0,0,21
0,0,0,16
0,1,0,17
0,0,0,22
0,0,0,14
1,0,0,21
0,0,0,18
0,1,0,16
0,1,0,18
0,0,0,14
0,1,0,15
1,0,0,19
0,0,2,18
0,0,1,18
0,0,0,15
0,0,0,17
0,0,0,16
0,1,0,15
0,0,1,14
0,0,0,12
0,0,0,15
1,2,0,16
1,0,0,21
0,0,1,19
0,0,0,15
1,1,0,16
0,0,0,15
1,0,0,14
0,0,0,16
1,0,0,19
2,0,0,18
0,1,0,16
0,0,0,15
0,0,0,13
0,0,0,17
0,0,0,16
0,0,0,15
0,0,0,16
0,0,1,21
0,0,0,19
0,0,0,14
0,0,0,18
0,1,0,22
1,0,0,22
0,0,1,16
0,0,0,18
0,0,0,20
0,0,0,14
0,0,0,15
0,0,1,19
1,0,0,16
1,0,1,18
0,0,0,19
1,0,0,18
0,0,0,17
0,0,0,11
0,0,0,16
0,0,0,15
0,0,0,15
0,0,0,16
0,0,3,18
0,0,0,16
0,0,1,17
0,0,0,19
0,0,0,18
0,0,0,17
0,0,0,18
0,1,2,20
1,0,1,17
0,2,0,17
0,0,0,15
1,0,0,20
0,1,0,17
0,0,1,18
0,0,0,17
0,0,0,18
0,1,0,21
0,0,0,14
0,0,0,19
0,0,0,16
1,3,0,19
0,0,0,16
1,1,0,18
0,1,0,17
1,0,0,17
0,0,0,14
0,0,0,23
0,0,0,17
0,0,0,20
0,0,0,19
0,0,0,15
0,1,0,18
0,0,0,20
0,0,0,18
1,0,0,21
0,0,1,19
0,2,0,17
0,0,0,18
0,0,0,19
0,0,0,17
1,0,0,19
0,0,0,14
0,0,0,16
2,0,0,19
0,0,0,19
1,0,0,15
0,2,0,19
0,1,1,21
0,0,0,19
0,1,0,16
3,0,0,16
0,0,0,18
0,0,0,13
0,0,0,15
1,0,0,16
0,0,0,16
1,0,0,17
1,0,0,17
0,0,0,17
0,0,0,15
0,0,0,17
2,2,0,16
0,0,0,20
0,0,0,19
0,1,0,16
0,0,0,16
0,1,0,21
0,0,0,15
0,0,0,11
0,0,0,20
0,0,0,15
